,Location,Borough,Postcode,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
128,South Wimbledon,Merton,SW19,51.421700000000044,-0.2079599999999573,1,Pub,Park,Coffee Shop,Sushi Restaurant,Tennis Stadium,Italian Restaurant,Burger Joint,Café,Tennis Court,Scenic Lookout
129,South Woodford,Redbridge,E18,51.589770000000044,0.030520000000024083,1,Pub,Grocery Store,Pizza Place,Coffee Shop,Café,Turkish Restaurant,Indian Restaurant,Park,Bakery,Italian Restaurant
130,Southend,Lewisham,SE6,51.43722000000008,-0.018679999999960728,1,Pub,Coffee Shop,Grocery Store,Park,Café,Supermarket,Gym / Fitness Center,Italian Restaurant,Indian Restaurant,Fish & Chips Shop
131,Southfields,Wandsworth,SW18,51.45066000000003,-0.18996999999995978,1,Coffee Shop,Park,Pub,Pizza Place,Café,Supermarket,Grocery Store,Tennis Stadium,Gym,Breakfast Spot
132,Southgate,Enfield,N14,51.63429000000008,-0.13365999999996347,0,Grocery Store,Pub,Coffee Shop,Café,Italian Restaurant,Park,Turkish Restaurant,Supermarket,Greek Restaurant,Bakery
133,St Johns,Lewisham,SE4,51.462680000000034,-0.035579999999924894,1,Coffee Shop,Pub,Park,Bar,Café,Italian Restaurant,Pizza Place,Cocktail Bar,Brewery,Beer Store
134,Stonebridge,Brent,NW10,51.53938000000005,-0.25204999999994016,1,Pub,Café,Park,Coffee Shop,Portuguese Restaurant,Italian Restaurant,Middle Eastern Restaurant,Restaurant,Gym / Fitness Center,Thai Restaurant
135,Stratford,Newham,E15,51.540140000000065,0.0027800000000297587,1,Pub,Café,Park,Restaurant,Grocery Store,Bar,Hotel,Art Gallery,Italian Restaurant,Coffee Shop
136,"Sydenham (also Lower Sydenham, Upper Sydenham)",Lewisham,SE26,51.42674000000005,-0.05532999999996946,1,Pub,Italian Restaurant,Café,Coffee Shop,Pizza Place,Park,Gastropub,Indian Restaurant,Garden Center,Gym / Fitness Center
137,"Sydenham (also Lower Sydenham, Upper Sydenham)",Bromley,SE26,51.42674000000005,-0.05532999999996946,1,Pub,Italian Restaurant,Café,Coffee Shop,Pizza Place,Park,Gastropub,Indian Restaurant,Garden Center,Gym / Fitness Center
138,Sydenham Hill,Lewisham,SE21,51.44100000000003,-0.08896999999996069,1,Coffee Shop,Park,Pub,Pizza Place,Café,Gym / Fitness Center,Market,Brewery,Bakery,Yoga Studio
139,Thamesmead,Bexley,SE28,51.50527000000005,0.12013000000007423,0,Supermarket,Grocery Store,Pharmacy,Coffee Shop,Fast Food Restaurant,Clothing Store,Chinese Restaurant,Gym / Fitness Center,Warehouse Store,Hardware Store
140,Thamesmead,Greenwich,SE28,51.50527000000005,0.12013000000007423,0,Supermarket,Grocery Store,Pharmacy,Coffee Shop,Fast Food Restaurant,Clothing Store,Chinese Restaurant,Gym / Fitness Center,Warehouse Store,Hardware Store
141,Tooting,Wandsworth,SW17,51.43037000000004,-0.1655799999999772,1,Pub,Coffee Shop,Café,Italian Restaurant,Park,Bar,Indian Restaurant,Pizza Place,French Restaurant,Burger Joint
142,Tooting Bec,Wandsworth,SW17,51.43037000000004,-0.1655799999999772,1,Pub,Coffee Shop,Café,Italian Restaurant,Park,Bar,Indian Restaurant,Pizza Place,French Restaurant,Burger Joint
143,Totteridge,Barnet,N20,51.63261000000006,-0.17561999999992395,1,Coffee Shop,Pub,Grocery Store,Café,Italian Restaurant,Supermarket,Park,Turkish Restaurant,Fish & Chips Shop,Greek Restaurant
144,Upper Norwood,Croydon,SE19,51.41990000000004,-0.08807999999993399,1,Pub,Park,Italian Restaurant,Coffee Shop,Café,Gastropub,Gym / Fitness Center,Indian Restaurant,Bakery,Supermarket
145,Upper Walthamstow,Waltham Forest,E17,51.58477000000005,-0.019429999999942993,1,Pub,Coffee Shop,Café,Park,Brewery,Restaurant,Grocery Store,Gym,Supermarket,Bakery
146,Upton Park,Newham,E6,51.53292000000005,0.05461000000002514,0,Indian Restaurant,Hotel,Coffee Shop,Supermarket,Pub,Park,Gym / Fitness Center,Light Rail Station,Ice Cream Shop,Clothing Store
147,Walthamstow,Waltham Forest,E17,51.58477000000005,-0.019429999999942993,1,Pub,Coffee Shop,Café,Park,Brewery,Restaurant,Grocery Store,Gym,Supermarket,Bakery
148,Walthamstow Village,Waltham Forest,E17,51.58477000000005,-0.019429999999942993,1,Pub,Coffee Shop,Café,Park,Brewery,Restaurant,Grocery Store,Gym,Supermarket,Bakery
149,Wandsworth,Wandsworth,SW18,51.45066000000003,-0.18996999999995978,1,Coffee Shop,Park,Pub,Pizza Place,Café,Supermarket,Grocery Store,Tennis Stadium,Gym,Breakfast Spot
150,Wanstead,Redbridge,E11,51.576760000000036,0.027230000000031396,1,Pub,Grocery Store,Coffee Shop,Pizza Place,Café,Restaurant,Park,Supermarket,Bakery,Brewery
151,Well Hall,Greenwich,SE9,51.444630000000075,0.05212000000005901,0,Grocery Store,Pub,Park,Platform,Gym / Fitness Center,Golf Course,Italian Restaurant,Rugby Pitch,Mediterranean Restaurant,Fish & Chips Shop
152,West Ealing,Ealing,W13,51.514530000000036,-0.31950999999997975,1,Pub,Park,Coffee Shop,Hotel,Italian Restaurant,Café,Burger Joint,Pizza Place,Supermarket,Greek Restaurant
153,West Ham,Newham,E13,51.52653000000004,0.02876000000003387,0,Hotel,Pub,Park,Coffee Shop,Grocery Store,Café,Indian Restaurant,Supermarket,Hotel Bar,Italian Restaurant
154,West Heath,Bexley,SE2,51.492450000000076,0.12127000000003818,0,Grocery Store,Supermarket,Pub,Fast Food Restaurant,Bakery,Historic Site,Train Station,Clothing Store,Gastropub,Gym / Fitness Center
155,West Hendon,Barnet,NW9,51.58486000000005,-0.24880999999993492,0,Coffee Shop,Grocery Store,Café,Gym / Fitness Center,Supermarket,Park,Pub,Chinese Restaurant,Fast Food Restaurant,Clothing Store
156,Westcombe Park,Greenwich,SE3,51.47138000000007,0.023380000000031487,1,Pub,Park,Garden,Café,Turkish Restaurant,Historic Site,Grocery Store,Market,Furniture / Home Store,French Restaurant
157,Whetstone,Barnet,N20,51.63261000000006,-0.17561999999992395,1,Coffee Shop,Pub,Grocery Store,Café,Italian Restaurant,Supermarket,Park,Turkish Restaurant,Fish & Chips Shop,Greek Restaurant
158,Willesden,Brent,NW10,51.53938000000005,-0.25204999999994016,1,Pub,Café,Park,Coffee Shop,Portuguese Restaurant,Italian Restaurant,Middle Eastern Restaurant,Restaurant,Gym / Fitness Center,Thai Restaurant
159,Wimbledon,Merton,SW19,51.421700000000044,-0.2079599999999573,1,Pub,Park,Coffee Shop,Sushi Restaurant,Tennis Stadium,Italian Restaurant,Burger Joint,Café,Tennis Court,Scenic Lookout
160,Winchmore Hill,Enfield,N21,51.63519000000008,-0.09302999999994199,1,Pub,Coffee Shop,Supermarket,Turkish Restaurant,Gym / Fitness Center,Park,Grocery Store,Café,Greek Restaurant,Fish & Chips Shop
161,Woodford,Redbridge,IG8,51.50642000000005,-0.1272099999999341,0,Hotel,Bookstore,Clothing Store,Theater,Plaza,Indian Restaurant,Steakhouse,Cocktail Bar,Lounge,History Museum
162,Woodford Green,Redbridge,IG8,51.50642000000005,-0.1272099999999341,0,Hotel,Bookstore,Clothing Store,Theater,Plaza,Indian Restaurant,Steakhouse,Cocktail Bar,Lounge,History Museum
163,Woodford Green,Waltham Forest,IG8,51.50642000000005,-0.1272099999999341,0,Hotel,Bookstore,Clothing Store,Theater,Plaza,Indian Restaurant,Steakhouse,Cocktail Bar,Lounge,History Museum
164,Woodside Park,Barnet,N12,51.615920000000074,-0.1767399999999384,0,Coffee Shop,Grocery Store,Pub,Supermarket,Turkish Restaurant,Café,Park,Italian Restaurant,Bakery,Indian Restaurant
165,Woolwich,Greenwich,SE18,51.48207000000008,0.07143000000002075,0,Grocery Store,Pub,Park,Café,Coffee Shop,Gym / Fitness Center,Bakery,Italian Restaurant,Discount Store,Clothing Store
